rest_name,menu_item,description,glutenContaining
Rock n' Roll Sushi,Punk Rock Roll,"Shrimp tempura, spicy tuna, cream cheese inside, seared yellowfin tuna outside, topped with strawberry-avocado-jalapeÃ±o-cucumber salad, sweet-chili-ponzu dressing, spicy mayo and eel sauce. (770 cal)",2
Rock n' Roll Sushi,Pyro Roll,"Shrimp tempura inside, topped with baked krab meat, spicy mayo, eel sauce and crunchy flakes. (610 cal)",2
Rock n' Roll Sushi,Rainbow Roll,"California roll inside, yellowfin tuna, fresh salmon, yellowtail and avocado outside, topped with sesame seeds. 576 cal)",2
Rock n' Roll Sushi,Reggae Roll,"Krab stick and Cajun-seasoned crawfish inside, shrimp and avocado outside, topped with spicy mayo and sweet chili. (438 cal)",2
Rock n' Roll Sushi,Rocked Lobster Roll ,"Lobster and cucumber inside topped with layered avocado, sriracha, tobiko, crunchy flakes, sesame seeds and our housemade ginger sauce. (495 cal)",2
Rock n' Roll Sushi,Spider Roll,"Soft-shell crab tempura, cucumber, avocado, spring mix inside, topped with sweet chili and eel sauce. (404 cal)",2
Rock n' Roll Sushi,Susnet Strip Roll ,"Shrimp tempura and cucumber inside, shrimp, krab stick and avocado outside, topped with spicy mayo, eel sauce and crunchy flakes. (555 cal)",2
Rock n' Roll Sushi,Sweet Home Alabama Roll,"(FRIED) Smoked salmon, krab stick, cream cheese and avocado inside, topped with spicy mayo, eel sauce and crunchy flakes. (806 cal)",2
Rock n' Roll Sushi,Thriller ,"(FRIED) Shrimp tempura and cream cheese inside, topped with eel sauce, spicy mayo and crunchy flakes and your choice of baked krab meat or Cajun-seasoned crawfish. (841 cal/879 cal)",2
Rock n' Roll Sushi,Tour Bus Roll,"(BAKED) Spicy tuna, krab stick, cream cheese inside, topped with seared filet mignon, jalapeÃ±o, spicy mayo, sweet chili, eel sauce, sriracha and crunchy flakes. (678 cal)",2
Rock n' Roll Sushi,Unplugged Roll,"(CUCUMBER WRAP)Yellowfin tuna, yellowtail, salmon collaborated with krab stick and avocado wrapped in cucumber with sweet chili, ponzu, eel sauce and sesame seeds. Rice-free. (377 cal)",2
Rock n' Roll Sushi,Velcro Pygmies Roll ,"(SOY PAPER ROLL) Seared filet mignon, cream cheese and krab stick inside, smoked salmon and jalapeÃ±o slices on top with green onion, creamy wasabi and eel sauce. (772 cal)",2
Rock n' Roll Sushi,Volcano Roll,"(BAKED) California roll topped with baked krab meat, spicy mayo, eel sauce, crunchy flakes. (494 cal)",2
Rock n' Roll Sushi,Crispy Shrimp Tempura and French Fries ,Crunchy fried shrimp & fries. Served with ketchup. (899 cal),2
Rock n' Roll Sushi,Classsic Chicken Nuggets nd French Fries ,Hand breaded chicken nuggets & fries. Served with ketchup. (573 cal),2
Rock n' Roll Sushi,Chiken Teriyaki and Fried Rice,Served with Yum Yum sauce. (966 cal),2
Rock n' Roll Sushi,Filet Mignon Teriyaki and Fried Rice ,Served with Yum Yum sauce. (930 cal),2
Rock n' Roll Sushi,Side French Fries,(340 cal),0
Rock n' Roll Sushi,Cheesecake,"(ORIGINAL OR FRIED) Creamy slice of traditional cheesecake drizzled with chocolate and caramel, topped with whipped cream and strawberries. Not-so-traditional? Get it fully fried. (722cal./946cal.) Add a scoop of vanilla ice cream: (+170cal.)",1
Rock n' Roll Sushi,Hall of Fame Brownies ,"A towering stack of golden-fried brownie slices, vanilla ice cream, whipped cream, chocolate and caramel swirlsâ€”with a cherry on top. Epic. (912cal.)",2
